retrieval_id,query,tail,regex_signals
7882e435-41b2-4bf2-99ca-45f10843ad24,what time does the COUNTYSEAT STATE library open,iday/special hours. \n Here are the usual hours: \n Monday–Thursday: 10 AM – 8 PM \n Friday–Saturday: 10 AM – 5 PM \n Sunday: Closed,no_terminal_punct
a9480f68-5266-4074-b4c5-fa5e127bc078,what time does the COUNTYSEAT STATE library open,"ally for specific days or events. \n Weekdays (Mon-Fri): 9:00 a.m. - 5:00 p.m. \n Address: 301 West Tate, Brownfield, TX 79316",no_terminal_punct
e4fbce4d-1fe3-4eb2-90ce-86f41e6bb230,how much are utilities in COUNTYSEAT STATE,"300 (Electric, Gas, Water/Sewer/Trash, Internet). \n Larger Home/Higher Usage: $500 - $800+ (with EV charging, pool, etc.).",ends_in_abbreviation
3f212451-bf4e-4e09-b06d-1abe62b56592,how to get an expedited passport in COUNTYSEAT STATE,os (get these at Staples or FedEx Office). \n Pay Fees: Include the $60 expedite fee plus application/execution fees. \n **Add,"no_terminal_punct,dangling_markdown,heading_fragment"
51f32c4a-4e1a-4e82-b77c-7e5d5695f29e,how to get an expedited passport in COUNTYSEAT STATE,"al facility or use a courier service for faster results, notes PassportsAndVisas.com and Urgent Passport Services, Inc..",ends_in_abbreviation
768b0b39-8495-4373-b74b-74a2dbc3d9d8,what is happening in COUNTYSEAT STATE right now,.net \n Town of Jena (Facebook): www.facebook.com/townofjena/ \n LaSalle Parish Sheriff's Office: www.lasalleso.com/newsEvents,no_terminal_punct
bcb503b6-e788-408c-9709-1a122a7613c6,what is happening in COUNTYSEAT STATE right now,ews and crime: RiverheadLOCAL \n For local stories and events: Riverhead News Review \n For broader area news: Patch Riverhead,no_terminal_punct
e142401f-c198-45eb-a97a-17be095efbb4,how to start a business in COUNTYSEAT STATE, State Registration \n Federal EIN (if needed) \n Local Permits & Licenses \n State Tax Registration \n Connect with Local Resources,no_terminal_punct
696eafbf-62dd-4ffb-8f64-f23b7ba94b9e,how far is COUNTYSEAT STATE,"Distance to New London \n You are currently in New London, CT. \n Distances to nearby cities",no_terminal_punct
da829ff0-5ac6-4836-9108-6b939bf70b22,how to apply for section 8 near COUNTYSEAT STATE,oved from the list. \n Key Resources: \n HUD's Section 8 Information \n Michigan State Housing Development Authority (MSHDA) info,no_terminal_punct
be56cf57-b751-431b-8f11-df3f1e637bc4,where is COUNTYSEAT STATE located in the world,"vania (PA) \n County: Westmoreland County \n Region: Western Pennsylvania, Laurel Highlands \n Proximity: Southeast of Pittsburgh",no_terminal_punct
8aaf71bc-086e-4f5d-8a5c-beef8539b818,what is the latest news in COUNTYSEAT STATE,"e and Henry County. \n Where to Find More: \n Reporter-Times (Martinsville): \n Martinsville, IN Government: \n WRTV - Martinsville:","no_terminal_punct,bare_trailing_colon"
20f4d4e6-373b-4e99-a2e7-82c3bbc0d502,how to become a teacher in COUNTYSEAT STATE, by the Tyrrell County Board of Education. \n Resources \n NC DPI Licensure Page \n TeachNC \n Tyrrell County Schools Personnel Page,no_terminal_punct
eacf2be0-a8bb-459b-99f9-eda8498aaba2,how to become a 911 dispatcher in COUNTYSEAT STATE,. \n NC 911 Board & NC Careers: Resources for state-wide opportunities. N.C. Department of Information Technology (.gov) +3,no_terminal_punct
